period,amp
22782.357978655007,3.6396951448392583e-06
22788.35875016073,1.603300552772119e-06
22794.35952166645,3.756595415204357e-07
22800.360293172176,2.1807532777027326e-06
22806.361064677898,3.3176365322364312e-06
22812.36183618362,1.2382555261257332e-06
22818.36260768934,6.621333798117951e-07
22824.363379195063,1.3196283957376175e-06
22830.364150700785,1.0183128215965783e-06
22836.364922206507,3.1678172218696336e-06
22842.36569371223,1.9605370483281374e-06
22848.36646521795,1.3235113997693168e-05
22854.367236723672,1.3964327803304985e-06
22860.368008229394,1.132034639233744e-06
22866.368779735116,9.568842779243613e-07
22872.369551240838,2.4691529476070284e-06
22878.37032274656,2.516323573874713e-06
22884.37109425228,1.7812507521002695e-06
22890.371865758003,1.595075513280444e-07
22896.372637263725,5.117362280564171e-07
22902.373408769447,4.616991690829186e-10
22908.37418027517,1.6543087725402137e-06
22914.374951780894,7.21102834809519e-07
22920.375723286616,4.5597363360683115e-07
22926.376494792337,8.476651967246002e-07
22932.37726629806,4.4900925590292507e-07
22938.37803780378,1.0250432417726435e-06
22944.378809309503,1.406076932181255e-07
22950.379580815224,3.3639213145269842e-06
22956.380352320946,4.515760778647375e-06
22962.381123826668,4.585170708988956e-07
22968.38189533239,2.206852554832733e-06
22974.38266683811,5.280208028326117e-07
22980.383438343833,1.2101245181378513e-06
22986.384209849555,1.175710045722623e-08
22992.384981355277,6.607192568464296e-07
22998.385752861,1.646935205530747e-06
23004.386524366724,2.7077481420529434e-07
23010.387295872446,2.6155710239461777e-06
23016.388067378168,8.534477568333261e-08
23022.38883888389,3.296552347202439e-06
23028.38961038961,1.5899357826027122e-06
23034.390381895333,2.123444468584848e-06
23040.391153401055,4.340665209171745e-07
23046.391924906777,1.771588234987747e-06
23052.3926964125,9.58102414058426e-07
23058.39346791822,1.2014111661135677e-06
23064.394239423942,2.532502717713278e-06
23070.395010929664,7.331660173343445e-07
23076.395782435386,2.5339239555608804e-06
23082.396553941107,4.2694367484283767e-07
23088.39732544683,2.0832160433276417e-06
23094.39809695255,1.39717498486831e-07
23100.398868458273,2.3331759500804933e-06
23106.399639963995,4.526471179428879e-06
23112.400411469716,1.103900153735066e-06
23118.40118297544,1.3453148430559366e-06
23124.401954481164,2.7902591516940117e-07
23130.402725986885,1.9264909316439553e-07
23136.403497492607,7.265998100825784e-07
23142.40426899833,1.4968127139604744e-06
23148.40504050405,1.2422129164968426e-07
23154.405812009772,3.513332034778306e-07
23160.406583515494,1.4356309561259508e-06
23166.407355021216,9.155491687404242e-07
23172.408126526938,1.3703709124306567e-06
23178.40889803266,7.599099009481922e-07
23184.40966953838,3.235818129120056e-07
23190.410441044103,2.615954355211338e-07
23196.411212549825,1.9637361650333627e-06
23202.411984055547,3.506536188789533e-07
23208.412755561272,2.538568243748546e-06
23214.413527066994,2.5183863349130076e-06
23220.414298572716,1.2218283374979108e-06
23226.415070078438,9.735882223770998e-07
23232.41584158416,2.017502910717202e-07
